Date,Currency,Exchange
01-01-15,USD,1
01-01-15,CAD,1.1583
01-01-15,AUD,1.2214
01-01-15,EUR,0.8237
01-01-15,GBP,0.6415
01-02-15,USD,1
01-02-15,CAD,1.1682
01-02-15,AUD,1.2323
01-02-15,EUR,0.8304
01-02-15,GBP,0.6477
01-03-15,USD,1
01-03-15,CAD,1.1682
01-03-15,AUD,1.2323
01-03-15,EUR,0.8304
01-03-15,GBP,0.6477
01-04-15,USD,1
01-04-15,CAD,1.1682
01-04-15,AUD,1.2323
01-04-15,EUR,0.8304
01-04-15,GBP,0.6477
01-05-15,USD,1
01-05-15,CAD,1.1784
01-05-15,AUD,1.2384
01-05-15,EUR,0.8393
01-05-15,GBP,0.6569
01-06-15,USD,1
01-06-15,CAD,1.1763
01-06-15,AUD,1.2288
01-06-15,EUR,0.8393
01-06-15,GBP,0.6582
01-07-15,USD,1
01-07-15,CAD,1.183
01-07-15,AUD,1.2391
01-07-15,EUR,0.8452
01-07-15,GBP,0.6612
01-08-15,USD,1
01-08-15,CAD,1.1816
01-08-15,AUD,1.2337
01-08-15,EUR,0.8498
01-08-15,GBP,0.6637
01-09-15,USD,1
01-09-15,CAD,1.182
01-09-15,AUD,1.228
01-09-15,EUR,0.8465
01-09-15,GBP,0.6602
01-10-15,USD,1
01-10-15,CAD,1.182
01-10-15,AUD,1.228
01-10-15,EUR,0.8465
01-10-15,GBP,0.6602
01-11-15,USD,1
01-11-15,CAD,1.182
01-11-15,AUD,1.228
01-11-15,EUR,0.8465
01-11-15,GBP,0.6602
01-12-15,USD,1
01-12-15,CAD,1.1897
01-12-15,AUD,1.2282
01-12-15,EUR,0.8472
01-12-15,GBP,0.66
1/13/2015,USD,1
1/13/2015,CAD,1.1966
1/13/2015,AUD,1.2257
1/13/2015,EUR,0.8488
1/13/2015,GBP,0.6592
1/14/2015,USD,1
1/14/2015,CAD,1.1965
1/14/2015,AUD,1.2291
1/14/2015,EUR,0.8493
1/14/2015,GBP,0.6584
1/15/2015,USD,1
1/15/2015,CAD,1.1834
1/15/2015,AUD,1.208
1/15/2015,EUR,0.8541
1/15/2015,GBP,0.6553
1/16/2015,USD,1
1/16/2015,CAD,1.2035
1/16/2015,AUD,1.2179
1/16/2015,EUR,0.863
1/16/2015,GBP,0.659
1/17/2015,USD,1
1/17/2015,CAD,1.2035
1/17/2015,AUD,1.2179
1/17/2015,EUR,0.863
1/17/2015,GBP,0.659
1/18/2015,USD,1
1/18/2015,CAD,1.2035
1/18/2015,AUD,1.2179
1/18/2015,EUR,0.863
1/18/2015,GBP,0.659
1/19/2015,USD,1
1/19/2015,CAD,1.1983
1/19/2015,AUD,1.2179
1/19/2015,EUR,0.8617
1/19/2015,GBP,0.6604
1/20/2015,USD,1
1/20/2015,CAD,1.2013
1/20/2015,AUD,1.2197
1/20/2015,EUR,0.8636
1/20/2015,GBP,0.6596
1/21/2015,USD,1
1/21/2015,CAD,1.2075
1/21/2015,AUD,1.2174
1/21/2015,EUR,0.8626
1/21/2015,GBP,0.6617
1/22/2015,USD,1
1/22/2015,CAD,1.2354
1/22/2015,AUD,1.2308
1/22/2015,EUR,0.8607
1/22/2015,GBP,0.6579
1/23/2015,USD,1
1/23/2015,CAD,1.2446
1/23/2015,AUD,1.2653
1/23/2015,EUR,0.893
1/23/2015,GBP,0.6674
1/24/2015,USD,1
1/24/2015,CAD,1.2446
1/24/2015,AUD,1.2653
1/24/2015,EUR,0.893
1/24/2015,GBP,0.6674
1/25/2015,USD,1
1/25/2015,CAD,1.2446
1/25/2015,AUD,1.2653
1/25/2015,EUR,0.893
1/25/2015,GBP,0.6674
1/26/2015,USD,1
1/26/2015,CAD,1.2459
1/26/2015,AUD,1.2653
1/26/2015,EUR,0.8894
1/26/2015,GBP,0.6661
1/27/2015,USD,1
1/27/2015,CAD,1.2458
